SITC,Name
0010,Live animals chiefly for food
0011,Bovine
0012,Sheep and goat
0013,Swine
0014,Poultry
0015,Equine
0019,"live animals used for food, misc"
0110,Meat
0111,Bovine meat
0112,Sheep and Goat Meat
0113,Pig Meat
0114,Poultry meat
0115,Horse Meat
0116,Bovine and Equine Entrails
0118,"Animal meat, misc"
0120,Preserved meat
0121,Miscellaneous Animal Entrails
0129,Preserved meat
0140,Preserved fish
0141,Meat and fish extract
0142,Sausage
0149,Miscellaneous Prepared Meats
0220,Milk and cream
0223,Milk
0224,Preserved Milk
0230,Butter
0231,Butter products
0240,Cheese
0250,Eggs
0251,"Eggs, in shell"
0252,"Eggs, Shelled"
0340,Fish
0341,Fresh Fish
0342,Frozen Fish
0343,Fish fillets
0344,Frozen Fish Fillets
0350,"Fish, preserved"
0360,Crustaceans and Molluscs
0370,"Fish, crustaceans and molluscs, misc"
0371,Miscellaneous Fish
0372,"Crustaceans and molluscs, misc"
0410,"Wheat and meslin, unmilled"
0411,Durum Wheat
0412,Miscellaneous Wheat
0420,Rice
0421,Rice
0422,Milled Rice
0430,Unmilled Barley
0440,Maize
0450,"Cereals, unmilled"
0451,Unmilled Rye
0452,Unmilled Oats
0459,Miscellaneous Unmilled Cereals
0460,Wheat Flour
0470,Non-Wheat Cereal Flour
0480,"Cereal, flour or starch preparations of fruits or vegetables"
0481,Miscellaneous Cereal Grains
0482,Malt
0483,Pasta
0484,Baked Goods
0488,Malt Extract
0540,"Vegetables, fresh or simply preserved; roots and tubers"
0541,Potatoes
0542,Legumes
0544,Tomatoes
0545,Miscellaneous Vegetables
0546,Frozen Vegetables
0548,Miscellaneous Root and Tuber Vegetables
0560,"Vegetables, roots and tubers"
0561,Dried Vegetables
0564,Flour
0565,Vegetables
0570,"Fruit and nuts, fresh, dried"
0571,Oranges
0572,Miscellaneous Citrus
0573,Bananas
0574,Apples
0575,Grapes and Raisins
0576,Figs
0577,Nuts
0579,Miscellaneous Fruit
0580,"Fruit, preserved, and fruits preparations"
0582,Fruit Preserved by Sugar
0583,Fruit Jams
0585,Fruit or Vegetable Juices
0586,Temporarily Preserved Fruit
0589,Prepared Fruit
0610,Sugar and honey
0611,Cane Sugar
0612,Refined Sugars
0615,Molasses
0616,Honey
0619,Sugar Syrups
0620,Confectionary Sugar
0710,Coffee and coffee substitutes
0711,Coffee
0712,Coffee Extracts
0720,Cocoa
0721,Cocoa Beans
0722,Unsweetened Cocoa Powder
0723,Cocoa Butter
0730,Chocolate
0740,Tea and mate
0741,Tea
0742,Maté
0750,Spices
0751,Pepper
0752,Spices
0810,Feed for animals
0811,Hay
0812,Bran and Other Cereals Residues
0813,Oilcake
0814,Inedible Flours of Meat and Fish
0819,Food Waste and Animal Feed
0910,Margarine and shortening
0913,Lard
0914,Margarine
0980,Miscellaneous Edibles
1110,Miscellaneous Beverages
1120,Alcoholic beverages
1121,Wine
1122,Miscellaneous Fermented Beverages
1123,Beer
1124,Liquor
1210,Tobacco unmanufactured; tobacco refuse
1211,Unstripped Tobacco
1212,Stripped Tobacco
1213,Tobacco Refuse
1220,Manufactured tobacco
1221,Cigars
1222,Cigarretes
1223,Tobacco Substitutes
2110,"Hides and skins, excluding furs, raw"
2111,Raw Hides of Bovine and Equine
2112,Raw Calf Skins
2114,Raw Goat Skins
2116,Raw Sheep Skin with Wool
2117,Raw Sheep Skin without Wool
2119,Miscellaneous Hides and Skins
2120,Raw Furs
2200,Oil seeds and oleaginous fruit
2221,Green Groundnuts
2222,Soy Beans
2223,Cotton Seeds
2224,Sunflower Seeds
2225,Sesame Seeds
2226,Rape Seeds
2230,"Seeds and oleaginous fruit, whole or broken, for other fixed oils"
2231,Copra
2232,Palm Nuts and Kernels
2234,Linseed
2235,Castor Oil Seeds
2238,Miscellaneous Oil Seeds and Fruits
2239,Oil Seeds Flour
2320,Natural Rubber
2330,"Synthetic rubber, latex; waste, scrap of unhardened rubber"
2331,Synthetic Rubber
2332,Reclaimed and Scrap Rubber
2400,Cork and wood
2440,Raw Cork
2450,Fuel Wood and Charcoal
2460,Pulpwood
2470,Other wood in the rough or roughly squared
2471,Rough Coniferous Logs
2472,Non-Coniferous Sawlogs
2479,Rough Wood
2480,"Wood, simply worked, and railway sleepers of wood"
2481,Railroad Ties
2482,Coniferous Wood
2483,Non-Coniferous Worked Wood
2510,Pulp and waste paper
2511,Waste Paper
2512,Mechanical Wood Pulp
2516,Dissolving Grade Chemical Wood Pulp
2517,Chemical Wood Pulp of Soda or Sulphate
2518,Chemical Wood Pulp of sulphite
2519,Miscellaneous Cellulosic Pulps
2610,Silk
2613,Raw Silk
2614,Worm Cocoons
2630,Cotton
2631,Cotton
2632,Cotton Linters
2633,Cotton Waste
2634,Cotton
2640,Jute
2650,"Vegetable textile fibres, excluding cotton, jute, and waste"
2651,Flax
2652,Hemp
2654,Agave Fibers
2655,Manila Hemp
2659,Miscellaneous Vegetable Textile Fibres
2665,Uncarded Discontinuous Synthetic Fibers
2666,Continuous Synthetic Fibres
2667,Carded Discontinuous Synthetic Fibres
2670,"Other man-made fibres suitable for spinning, and waste"
2671,Regenerated Fiber
2672,Waste of Man-Made Fibres
2680,Wool and other animal hair (excluding tops)
2681,Greasy Wool
2682,Degreased Sheep Wool
2683,Fine Animal Hair
2685,Coarse Animal Hair
2686,Wood and Animal Hair Waste
2687,Carded Animal Hair
2690,Rags
2710,"Fertilizers, crude"
2711,Crude Fertilizer
2712,Natural Sodium Nitrate
2713,Natural Calcium Phosphates
2714,Crude Natural Potassium Salts
2730,"Stone, sand and gravel"
2731,Unworked Building Stone
2732,Gypsum and Other Calcareous Stone
2733,Sands
2734,Stones
2740,Sulphur and unroasted iron pyrites
2741,Sulphur
2742,Unroasted Iron Pyrites
2770,Natural abrasives like industrial diamonds
2771,Industrial Diamonds
2772,Miscellaneous Natural Abrasives
2780,Other crude minerals
2782,Miscellaneous Clay and Refractory Minerals
2783,Salt
2784,Asbestos
2785,Quartz
2786,Metal Waste
2789,Miscellaneous Crude Minerals
2810,Iron ore and concentrates
2814,Roasted Iron Pyrites
2815,Iron Ore
2816,Iron Ore Agglomerates
2820,Iron Waste
2829,Waste and scrap metal of iron or steel
2860,Uranium and Thorium
2870,Ores and concentrates of base metals
2871,Copper
2872,Nickel
2873,Aluminum Ore
2874,Lead Ore
2875,Zinc Ore
2876,Tin
2877,Manganese
2879,Miscellaneous Non-Ferrous Ores
2880,"Non-ferrous base metal waste and scrap, nes"
2881,Ash and Residues
2882,Miscellaneous Non-Iron Waste
2890,Precious Metal Ores
2910,Crude animal materials
2911,"Bones, Ivory and Horns"
2919,Miscellaneous Animal Origin Materials
2920,"Crude vegetable materials, nes"
2922,Natural Gums
2923,Vegetable Plaiting Materials
2924,Pharmaceutical Flora
2925,Planting Seeds and Spores
2926,Live Plants
2927,Flowers
2929,Miscellaneous Vegetable Origin Materials
3200,"Coal, coke and briquettes"
3220,"Coal, lignite and peat"
3221,Anthracite
3222,Coal
3223,Lignite
3224,Peat
3231,Solid Fuels
3232,Coke
3300,Petroleum products
3330,Crude Petroleum
3340,"Petroleum products, refined"
3341,Light oils
3342,Medium oils
3343,Gas oils
3344,Fuel oils
3345,Lubricating Petroleum Oils
3350,"Residual petroleum products, nes and related materials"
3351,Petroleum Jelly
3352,Mineral Tars
3353,Mineral Tar Pitch
3354,Miscellaneous Bituminous Mixtures
3410,"Gas, natural and manufactured"
3413,Liquified Petroleum Gases
3414,Petroleum Gases
3415,Coal and Water Gas
3510,Electric Current
4110,Animal oils and fats
