"code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","ParentCode"
"01","Live animals","Live animals","0","2","TOTAL"
"0101","Live animals // Live horses, asses, mules and hinnies.","Live horses, asses, mules and hinnies.","0","4","01"
"010121","Live animals // Live horses, asses, mules and hinnies. // - Horses : // -- Pure-bred breeding animals","-- Pure-bred breeding animals","1","6","0101"
"010129","Live animals // Live horses, asses, mules and hinnies. // - Horses : // -- Other","-- Other","1","6","0101"
"010130","Live animals // Live horses, asses, mules and hinnies. // -Asses","-Asses","1","6","0101"
"010190","Live animals // Live horses, asses, mules and hinnies. // -Other","-Other","1","6","0101"
"0102","Live animals // Live bovine animals.","Live bovine animals.","0","4","01"
"010221","Live animals // Live bovine animals. // - Cattle : // -- Pure-bred breeding animals","-- Pure-bred breeding animals","1","6","0102"
"010229","Live animals // Live bovine animals. // - Cattle : // -- Other","-- Other","1","6","0102"
"010231","Live animals // Live bovine animals. // - Buffalo : // -- Pure-bred breeding animals","-- Pure-bred breeding animals","1","6","0102"
"010239","Live animals // Live bovine animals. // - Buffalo : // -- Other","-- Other","1","6","0102"
"010290","Live animals // Live bovine animals. // -Other","-Other","1","6","0102"
"0103","Live animals // Live swine.","Live swine.","0","4","01"
"010310","Live animals // Live swine. // -Pure-bred breeding animals","-Pure-bred breeding animals","1","6","0103"
"010391","Live animals // Live swine. // - Other : // -- Weighing less than 50 kg","-- Weighing less than 50 kg","1","6","0103"
"010392","Live animals // Live swine. // - Other : // -- Weighing 50 kg or more","-- Weighing 50 kg or more","1","6","0103"
"0104","Live animals // Live sheep and goats.","Live sheep and goats.","0","4","01"
"010410","Live animals // Live sheep and goats. // -Sheep","-Sheep","1","6","0104"
"010420","Live animals // Live sheep and goats. // -Goats","-Goats","1","6","0104"
"0105","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","0","4","01"
"010511","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. // - Weighing not more than 185 g : // -- Fowls of the species Gallus domesticus","-- Fowls of the species Gallus domesticus","1","6","0105"
"010512","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. // - Weighing not more than 185 g : // -- Turkeys","-- Turkeys","1","6","0105"
"010513","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. // - Weighing not more than 185 g : // -- Ducks","-- Ducks","1","6","0105"
"010514","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. // - Weighing not more than 185 g : // -- Geese","-- Geese","1","6","0105"
"010515","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. // - Weighing not more than 185 g : // -- Guinea fowls","-- Guinea fowls","1","6","0105"
"010594","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. // - Other : // -- Fowls of the species Gallus domesticus","-- Fowls of the species Gallus domesticus","1","6","0105"
"010599","Live animals // Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. // - Other : // -- Other","-- Other","1","6","0105"
"0106","Live animals // Other live animals.","Other live animals.","0","4","01"
"010611","Live animals // Other live animals. // - Mammals : // -- Primates","-- Primates","1","6","0106"
"010612","Live animals // Other live animals. // - Mammals : // -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","1","6","0106"
"010613","Live animals // Other live animals. // - Mammals : // -- Camels and other camelids (Camelidae)","-- Camels and other camelids (Camelidae)","1","6","0106"
"010614","Live animals // Other live animals. // - Mammals : // -- Rabbits and hares","-- Rabbits and hares","1","6","0106"
"010619","Live animals // Other live animals. // - Mammals : // -- Other","-- Other","1","6","0106"
"010620","Live animals // Other live animals. // -Reptiles (including snakes and turtles)","-Reptiles (including snakes and turtles)","1","6","0106"
"010631","Live animals // Other live animals. // - Birds : // -- Birds of prey","-- Birds of prey","1","6","0106"
"010632","Live animals // Other live animals. // - Birds : // -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","-- Psittaciformes (including parrots, parakeets, macaws and cockatoos)","1","6","0106"
"010633","Live animals // Other live animals. // - Birds : // -- Ostriches; emus (Dromaius novaehollandiae)","-- Ostriches; emus (Dromaius novaehollandiae)","1","6","0106"
"010639","Live animals // Other live animals. // - Birds : // -- Other","-- Other","1","6","0106"
"010641","Live animals // Other live animals. // - Insects : // -- Bees","-- Bees","1","6","0106"
"010649","Live animals // Other live animals. // - Insects : // -- Other","-- Other","1","6","0106"
"010690","Live animals // Other live animals. // -Other","-Other","1","6","0106"
"02","Meat and edible meat offal","Meat and edible meat offal","0","2","TOTAL"
"0201","Meat and edible meat offal // Meat of bovine animals, fresh or chilled.","Meat of bovine animals, fresh or chilled.","0","4","02"
"020110","Meat and edible meat offal // Meat of bovine animals, fresh or chilled. // -Carcasses and half-carcasses","-Carcasses and half-carcasses","1","6","0201"
"020120","Meat and edible meat offal // Meat of bovine animals, fresh or chilled. // -Other cuts with bone in","-Other cuts with bone in","1","6","0201"
"020130","Meat and edible meat offal // Meat of bovine animals, fresh or chilled. // -Boneless","-Boneless","1","6","0201"
"0202","Meat and edible meat offal // Meat of bovine animals, frozen.","Meat of bovine animals, frozen.","0","4","02"
"020210","Meat and edible meat offal // Meat of bovine animals, frozen. // -Carcasses and half-carcasses","-Carcasses and half-carcasses","1","6","0202"
"020220","Meat and edible meat offal // Meat of bovine animals, frozen. // -Other cuts with bone in","-Other cuts with bone in","1","6","0202"
"020230","Meat and edible meat offal // Meat of bovine animals, frozen. // -Boneless","-Boneless","1","6","0202"
"0203","Meat and edible meat offal // Meat of swine, fresh, chilled or frozen.","Meat of swine, fresh, chilled or frozen.","0","4","02"
"020311","Meat and edible meat offal // Meat of swine, fresh, chilled or frozen. // - Fresh or chilled : // -- Carcasses and half-carcasses","-- Carcasses and half-carcasses","1","6","0203"
"020312","Meat and edible meat offal // Meat of swine, fresh, chilled or frozen. // - Fresh or chilled : // -- Hams, shoulders and cuts thereof, with bone in","-- Hams, shoulders and cuts thereof, with bone in","1","6","0203"
"020319","Meat and edible meat offal // Meat of swine, fresh, chilled or frozen. // - Fresh or chilled : // -- Other","-- Other","1","6","0203"
"020321","Meat and edible meat offal // Meat of swine, fresh, chilled or frozen. // - Frozen : // -- Carcasses and half-carcasses","-- Carcasses and half-carcasses","1","6","0203"
"020322","Meat and edible meat offal // Meat of swine, fresh, chilled or frozen. // - Frozen : // -- Hams, shoulders and cuts thereof, with bone in","-- Hams, shoulders and cuts thereof, with bone in","1","6","0203"
"020329","Meat and edible meat offal // Meat of swine, fresh, chilled or frozen. // - Frozen : // -- Other","-- Other","1","6","0203"
"0204","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen.","Meat of sheep or goats, fresh, chilled or frozen.","0","4","02"
"020410","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen. // -Carcasses and half-carcasses of lamb, fresh or chilled","-Carcasses and half-carcasses of lamb, fresh or chilled","1","6","0204"
"020421","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen. // - Other meat of sheep, fresh or chilled : // -- Carcasses and half-carcasses","-- Carcasses and half-carcasses","1","6","0204"
"020422","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen. // - Other meat of sheep, fresh or chilled : // -- Other cuts with bone in","-- Other cuts with bone in","1","6","0204"
"020423","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen. // - Other meat of sheep, fresh or chilled : // -- Boneless","-- Boneless","1","6","0204"
"020430","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen. // -Carcasses and half-carcasses of lamb, frozen","-Carcasses and half-carcasses of lamb, frozen","1","6","0204"
"020441","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen. // - Other meat of sheep, frozen : // -- Carcasses and half-carcasses","-- Carcasses and half-carcasses","1","6","0204"
"020442","Meat and edible meat offal // Meat of sheep or goats, fresh, chilled or frozen. // - Other meat of sheep, frozen : // -- Other cuts with bone in","-- Other cuts with bone in","1","6","0204"
