sitc3,marker
001,1
011,1
012,1
014,1
022,1
023,1
024,1
025,1
034,1
035,1
036,1
037,1
041,1
042,1
043,1
044,1
045,1
046,1
047,1
048,1
054,1
056,1
057,1
058,1
061,1
062,1
071,1
072,1
073,1
074,1
075,1
081,1
091,1
098,1
111,1
112,1
121,1
122,1
211,1
212,1
222,1
223,1
232,1
233,1
244,1
245,1
246,1
247,1
248,1
251,1
261,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
271,1
273,1
274,1
277,1
278,1
281,1
282,1
286,1
287,1
288,1
289,1
291,1
292,1
322,1
323,1
333,1
334,1
335,1
341,1
351,1
411,1
423,1
424,1
431,1
511,1
512,1
513,1
514,1
515,1
516,1
522,1
523,1
524,1
531,1
532,1
533,1
541,1
551,1
553,1
554,1
562,1
572,1
582,1
583,1
584,1
585,1
591,1
592,1
598,1
611,1
612,1
613,1
621,1
625,1
628,1
633,1
634,1
635,1
641,1
642,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
671,1
672,1
673,1
674,1
675,1
676,1
677,1
678,1
679,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
699,1
711,1
712,1
713,1
714,1
716,1
718,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
736,1
737,1
741,1
742,1
743,1
744,1
745,1
749,1
751,1
752,1
759,1
761,1
762,1
763,1
764,1
771,1
772,1
773,1
774,1
775,1
776,1
778,1
781,1
782,1
783,1
784,1
785,1
786,1
791,1
792,1
793,1
812,1
821,1
831,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
851,1
871,1
872,1
873,1
874,1
881,1
882,1
883,1
884,1
885,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
911,1
931,1
941,1
951,1
961,1
971,1
