HS2002,SITCR2
010110,0015
010190,0015
010210,00111
010290,00119
010310,0013
010391,0013
010392,0013
010410,00121
010420,00122
010511,00141
010512,00141
010519,00141
010592,00149
010593,00149
010599,00149
010611,9410
010612,9410
010619,9410
010620,9410
010631,9410
010632,9410
010639,9410
010690,9410
020110,01111
020120,01111
020130,01112
020210,01111
020220,01111
020230,01112
020311,0113
020312,0113
020319,0113
020321,0113
020322,0113
020329,0113
020410,0112
020421,0112
020422,0112
020423,0112
020430,0112
020441,0112
020442,0112
020443,0112
020450,0112
020500,0115
020610,0116
020621,0116
020622,0116
020629,0116
020630,0116
020641,0116
020649,0116
020680,0116
020690,0116
020711,0114
020712,0114
020713,0114
020714,0114
020724,0114
020725,0114
020726,0114
020727,0114
020732,0114
020733,0114
020734,01181
020735,0114
020736,0114
020810,01189
020820,01189
020830,01189
020840,01189
020850,01189
020890,01189
020900,41131
021011,0121
021012,0121
021019,0121
021020,0129
021091,0149
021092,0149
021093,0149
021099,0149
030110,0341
030191,0341
030192,0341
030193,0341
030199,0341
030211,0341
030212,0341
030219,0341
030221,0341
030222,0341
030223,0341
030229,0341
030231,0341
030232,0341
030233,0341
030234,0341
030235,0341
030236,0341
030239,0341
030240,0341
030250,0341
030261,0341
030262,0341
030263,0341
030264,0341
030265,0341
030266,0341
030269,0341
030270,0341
030311,0342
030319,0342
030321,0342
030322,0342
030329,0342
030331,0342
030332,0342
030333,0342
030339,0342
030341,0342
030342,0342
030343,0342
030344,0342
030345,0342
030346,0342
030349,0342
030350,0342
030360,0342
030371,0342
030372,0342
030373,0342
030374,0342
030375,0342
030376,0342
030377,0342
030378,0342
030379,0342
030380,0342
030410,0343
030420,0344
030490,0342
030510,03501
030520,03503
030530,03503
030541,03504
030542,03504
030549,03504
030551,03502
030559,03503
030561,03503
030562,03503
030563,03503
030569,03503
030611,0360
030612,0360
030613,0360
030614,0360
030619,0360
030621,0360
030622,0360
030623,0360
030624,0360
030629,0360
030710,0360
030721,0360
030729,0360
030731,0360
030739,0360
030741,0360
030749,0360
030751,0360
030759,0360
030760,0360
030791,0360
030799,0360
040110,0223
040120,0223
040130,0223
040210,02242
040221,02243
040229,02243
040291,02249
040299,02249
040310,0223
040390,0223
040410,02241
040490,0223
040510,0230
040520,0230
040590,0230
040610,0240
040620,0240
040630,0240
040640,0240
040690,0240
040700,0251
040811,0252
040819,0252
040891,0252
040899,0252
040900,0616
041000,09808
050100,29191
050210,29192
050290,29192
050300,26851
050400,29193
050510,29196
050590,29196
050610,29111
050690,29111
050710,29116
050790,29116
050800,29115
050900,29197
051000,29198
051110,29199
051191,29199
051199,29199
060110,29261
060120,29261
060210,29269
060220,29269
060230,29269
060240,29269
060290,29269
060310,29271
060390,29271
060410,29272
060491,29272
060499,29272
070110,0541
070190,0541
070200,0544
070310,05451
070320,05451
070390,05451
070410,05459
070420,05459
070490,05459
070511,05459
070519,05459
070521,05459
070529,05459
070610,05459
070690,05459
070700,05459
070810,05459
070820,05459
070890,05459
070910,05459
070920,05459
070930,05459
070940,05459
070951,05459
070952,05459
070959,05459
070960,05459
070970,05459
070990,05459
071010,05461
071021,05461
071022,05461
071029,05461
071030,05461
071040,09809
071080,05461
071090,05461
071120,05462
071130,05462
071140,05462
071151,05462
071159,05462
071190,05462
071220,0561
071231,0561
071232,0561
071233,0561
071239,0561
071290,0561
071310,0542
071320,0542
071331,0542
071332,0542
071333,0542
071339,0542
071340,0542
071350,0542
071390,0542
071410,05481
071420,05481
071490,05481
080111,05771
080119,05771
080121,05772
080122,05772
080131,05773
080132,05773
080211,05774
080212,05774
080221,05775
080222,05775
080231,05779
080232,05779
080240,05779
080250,05779
080290,05779
080300,0573
080410,05796
080420,0576
080430,05795
080440,05797
080450,05797
080510,05711
080520,05712
080540,05722
080550,05721
080590,05729
080610,05751
080620,05752
080711,05798
080719,05798
080720,05798
080810,0574
080820,05792
080910,05793
080920,05793
080930,05793
080940,05793
081010,05794
081020,05794
081030,05794
081040,05794
081050,05798
081060,05798
081090,05798
081110,05861
081120,05861
081190,05861
081210,05863
081290,05863
081310,05799
081320,05799
081330,05799
081340,05799
081350,05799
081400,05864
090111,07111
090112,07111
090121,07112
090122,07112
090190,07113
090210,0741
090220,0741
090230,0741
090240,0741
090300,0742
090411,0751
090412,0751
090420,0751
090500,07521
090610,07522
090620,07522
090700,07523
090810,07524
090820,07524
090830,07524
090910,07525
090920,07525
090930,07525
090940,07525
090950,07525
091010,07526
091020,07528
091030,07528
091040,07528
091050,07528
091091,07528
091099,07528
100110,0411
100190,0412
100200,0451
100300,0430
100400,0452
100510,0440
100590,0440
100610,04211
100620,04212
100630,04221
100640,04222
100700,04592
100810,04599
100820,04591
100830,04599
100890,04599
110100,04601
110210,04701
110220,04701
110230,04701
110290,04701
110311,04602
110313,04702
110319,04702
110320,04602
110412,04811
110419,04811
110422,04811
110423,04811
110429,04811
110430,04811
110510,05643
110520,05643
110610,05649
110620,05649
110630,05649
110710,0482
110720,0482
110811,59211
110812,59211
110813,59211
110814,59211
110819,59211
110820,59211
110900,59212
120100,2222
120210,2221
120220,2221
120300,2231
120400,2234
120510,2226
120590,2226
120600,2224
120710,2232
120720,2223
120730,2235
120740,2225
120750,2238
120760,2238
120791,2238
120799,2238
120810,2239
120890,2239
120910,2925
120921,2925
120922,2925
120923,2925
120924,2925
120925,2925
120926,2925
120929,2925
120930,2925
120991,2925
120999,2925
121010,05484
121020,05484
121110,2924
121120,2924
121130,2924
121140,2924
121190,2924
121210,05488
121220,29298
121230,05488
121291,05482
121299,05488
121300,08111
121410,08112
121490,08112
130110,2922
130120,2922
130190,2922
130211,29291
130212,29291
130213,29291
130214,29291
130219,29291
130220,29291
130231,29291
130232,29291
130239,29291
140110,2923
140120,2923
140190,2923
140200,29292
140300,29293
140410,29298
140420,2632
140490,29298
150100,0913
150200,41132
150300,41133
150410,41111
150420,41112
150430,41113
150500,41134
150600,41139
150710,4232
150790,4232
150810,4234
150890,4234
150910,4235
150990,4235
151000,4235
151110,4242
151190,4242
151211,4236
151219,4236
151221,4233
151229,4233
151311,4243
151319,4243
151321,4244
151329,4244
151411,42391
151419,42391
151491,42391
151499,42391
151511,4241
151519,4241
151521,4249
151529,4249
151530,4245
151540,4249
151550,42392
151590,4249
151610,4312
151620,4312
151710,09141
151790,09149
151800,4311
152000,51218
152110,43143
152190,43144
152200,43133
160100,0142
160210,0149
160220,0149
160231,0149
160232,0149
160239,0149
160241,0149
160242,0149
160249,0149
160250,0149
160290,0149
160300,0141
160411,0371
160412,0371
160413,0371
160414,0371
160415,0371
160416,0371
160419,0371
160420,0371
160430,0371
160510,0372
160520,0372
160530,0372
160540,0372
160590,0372
170111,0611
170112,0611
170191,0612
170199,0612
170211,0619
170219,0619
170220,0619
170230,0619
170240,0619
170250,51692
170260,0619
170290,0619
170310,0615
170390,0615
170410,0620
170490,0620
180100,0721
180200,08192
180310,07231
180320,07231
180400,07232
180500,0722
180610,0730
180620,0730
180631,0730
180632,0730
180690,0730
190110,0488
190120,0488
190190,0488
190211,0483
190219,0483
190220,09809
190230,09809
190240,0483
190300,05645
190410,04812
190420,04812
190430,04811
190490,09809
190510,04841
