"CODE","SHORTDESCRIPTION"
"010111","Horses, live pure-bred breeding"
"010119","Horses, live except pure-bred breeding"
"010120","Asses, mules and hinnies, live"
"010210","Bovine animals, live pure-bred breeding"
"010290","Bovine animals, live, except pure-bred breeding"
"010310","Swine, live pure-bred breeding"
"010391","Swine, live except pure-bred breeding < 50 kg"
"010392","Swine, live except pure-bred breeding > 50 kg"
"010410","Sheep, live"
"010420","Goats, live"
"010511","Fowls, live domestic < 185 grams"
"010519","Poultry, live except domestic fowls, < 185 grams"
"010591","Fowls, live domestic > 185 grams"
"010599","Poultry, live except domestic fowls, > 185 grams"
"010600","Animals, live, except farm animals"
"020110","Bovine carcasses and half carcasses, fresh or chilled"
"020120","Bovine cuts bone in, fresh or chilled"
"020130","Bovine cuts boneless, fresh or chilled"
"020210","Bovine carcasses and half carcasses, frozen"
"020220","Bovine cuts bone in, frozen"
"020230","Bovine cuts boneless, frozen"
"020311","Swine carcasses and half carcasses, fresh or chilled"
"020312","Swine hams, shoulders & cuts bone in, fresh or chille"
"020319","Swine cuts, fresh or chilled, nes"
"020321","Swine carcasses and half carcasses, frozen"
"020322","Hams, shoulders and cuts, of swine, bone in, frozen"
"020329","Swine cuts, frozen nes"
"020410","Lamb carcasses and half carcasses, fresh or chilled"
"020421","Sheep carcasses and half carcasses, fresh or chilled"
"020422","Sheep cuts, bone in, fresh or chilled"
"020423","Sheep cuts, boneless, fresh or chilled"
"020430","Lamb carcasses and half carcasses, frozen"
"020441","Sheep carcasses and half carcasses, frozen"
"020442","Sheep cuts, bone in, frozen"
"020443","Sheep cuts, boneless, frozen"
"020450","Goat meat, fresh, chilled or frozen"
"020500","Horse, ass, mule, hinny meat, fresh, chilled or froze"
"020610","Bovine edible offal, fresh or chilled"
"020621","Bovine tongues, frozen"
"020622","Bovine livers, frozen"
"020629","Bovine edible offal, frozen except livers and tongues"
"020630","Swine edible offal, fresh or chilled"
"020641","Swine livers, frozen"
"020649","Swine edible offal, frozen except livers"
"020680","Sheep, goat, ass, mule, hinnie offal, fresh or chille"
"020690","Sheep, goat, ass, mule, hinnie edible offal, frozen"
"020710","Poultry, domestic, whole, fresh or chilled"
"020721","Fowls, domestic, whole, frozen"
"020722","Turkeys, domestic, whole, frozen"
"020723","Ducks, geese and guinea fowls, domestic, whole, froze"
"020731","Fatty livers (geese,ducks) domestic fresh or chilled"
"020739","Poultry cuts & offal, except livers, fresh or chilled"
"020741","Fowl cuts & offal, domestic, except livers, frozen"
"020742","Turkey cuts & offal, except livers, frozen"
"020743","Duck, goose, guinea fowl cuts, offal not liver, froze"
"020750","Poultry livers, domestic, frozen"
"020810","Rabbit or hare meat, offal, fresh, chilled or frozen"
"020820","Frog legs, fresh, chilled or frozen"
"020890","Meat and edible offal nes fresh, chilled or frozen"
"020900","Pig and poultry fat, unrendered"
"021011","Hams and shoulders, swine, salted, dried or smoked"
"021012","Bellies (streaky) of swine, salted, dried or smoked"
"021019","Swine meat, salted/dried/smoked not ham/shoulder/bell"
"021020","Bovine meat salted, dried or smoked"
"021090","Meat and edible meat offal cured, flours, meals nes"
"030110","Ornamental fish, live"
"030191","Trout, live"
"030192","Eels, live"
"030193","Carp, live"
"030199","Fish live, except trout, eel or carp"
"030211","Trout, fresh or chilled, whole"
"030212","Salmon fresh or chilled, whole"
"030219","Salmonidae, not trout or salmon,fresh or chilled whol"
"030221","Halibut, fresh or chilled, whole"
"030222","Plaice, fresh or chilled, whole"
"030223","Sole, fresh or chilled, whole"
"030229","Flatfish, fresh/chilled not halibut/plaice/sole, whol"
"030231","Tuna(albacore,longfin) fresh or chilled, whole"
"030232","Tuna(yellowfin) fresh or chilled, whole"
"030233","Skipjack,stripe-belly bonito, fresh or chilled, whole"
"030239","Tuna nes, fresh or chilled, whole"
"030240","Herring, fresh or chilled, whole"
"030250","Cod, fresh or chilled, whole"
"030261","Sardines,brisling,sprats, fresh or chilled, whole"
"030262","Haddock, fresh or chilled, whole"
"030263","Coalfish, fresh or chilled, whole"
"030264","Mackerel, fresh or chilled, whole"
"030265","Dogfish and other sharks, fresh or chilled, whole"
"030266","Eels, fresh or chilled, whole"
"030269","Fish nes, fresh or chilled, whole"
"030270","Fish livers and roes, fresh or chilled"
"030310","Salmon, Pacific, frozen, whole"
"030321","Trout, frozen, whole"
"030322","Salmon Atlantic or Danube, frozen, whole"
"030329","Salmonidae, nes,frozen, whole"
"030331","Halibut, frozen, whole"
"030332","Plaice, frozen, whole"
"030333","Sole, frozen, whole"
"030339","Flatfish except halibut, plaice or sole, frozen, whol"
"030341","Tunas(albacore,longfin), frozen, whole"
"030342","Tunas(yellowfin) frozen, whole"
"030343","Skipjack,stripe-bellied bonito, frozen, whole"
"030349","Tunas nes, frozen, whole"
"030350","Herrings, frozen, whole"
"030360","Cod, frozen, whole"
"030371","Sardines,brisling,sprats, frozen, whole"
"030372","Haddock, frozen, whole"
"030373","Coalfish, frozen, whole"
