HS96;lib
010111;Horses, Live
010119;Horses, Live
010120;Asses, Mules And Hinnies, Live
010210;Purebred Bovine Breeding Animals
010290;Bovine Animals, Other Than Purebred Breeding Animals, Live
010310;Purebred Swine Breeding Animals
010391;Swine Other Than Purebred Breeding Animals, Live
010392;Swine Other Than Purebred Breeding Animals, Live
010410;Sheep, Live
010420;Goats, Live
010511;Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)
010512;Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)
010519;Poultry, Live, Weighing Not Over 185 Grams (6.53 Oz.)
010592;Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)
010593;Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)
010599;Poultry, Live, Weighing Over 185 Grams (6.53 Oz.)
010600;Live Animals, N.E.S.
020110;Meat Of Bovine Animals With Bone In, Fresh Or Chilled
020120;Meat Of Bovine Animals With Bone In, Fresh Or Chilled
020130;Meat Of Bovine Animals, Boneless, Fresh Or Chilled
020210;Meat Of Bovine Animals With Bone In, Frozen
020220;Meat Of Bovine Animals With Bone In, Frozen
020230;Meat Of Bovine Animals, Boneless, Frozen
020311;Meat Of Swine, Fresh Or Chilled
020312;Meat Of Swine, Fresh Or Chilled
020319;Meat Of Swine, Fresh Or Chilled
020321;Meat Of Swine, Frozen
020322;Meat Of Swine, Frozen
020329;Meat Of Swine, Frozen
020410;Meat Of Sheep, Fresh Or Chilled
020421;Meat Of Sheep, Fresh Or Chilled
020422;Meat Of Sheep, Fresh Or Chilled
020423;Meat Of Sheep, Fresh Or Chilled
020430;Meat Of Sheep, Frozen
020441;Meat Of Sheep, Frozen
020442;Meat Of Sheep, Frozen
020443;Meat Of Sheep, Frozen
020450;Meat Of Goats, Fresh, Chilled Or Frozen
020500;Meat Of Horses, Asses, Mules, Or Hinnies, Fresh, Chilled Or Frozen
020610;Edible Offal Of Bovine Animals, Fresh Or Chilled
020621;Edible Offal Of Bovine Animals, Frozen
020622;Edible Offal Of Bovine Animals, Frozen
020629;Edible Offal Of Bovine Animals, Frozen
020630;Edible Offal Of Swine, Fresh Or Chilled
020641;Edible Offal Of Swine, Frozen
020649;Edible Offal Of Swine, Frozen
020680;Edible Offal Of Sheep, Goats, Horses, Asses, Mules Or Hinnies, Fresh Or Chilled
020690;Edible Offal Of Sheep, Goats, Horses, Asses, Mules Or Hinnies, Frozen
020711;Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled
020712;Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen
020713;Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled
020714;Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen
020724;Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled
020725;Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen
020726;Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled
020727;Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen
020732;Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Fresh Or Chilled
020733;Poultry Meat Of Chickens, Ducks, Geese, Turkeys And Guineas Not Cut In Pieces, Frozen
020734;Fatty Livers Of Geese Or Ducks, Fresh Or Chilled
020735;Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Fatty Livers Of Ducks Or Geese, Fresh Or Chilled
020736;Poultry Cuts (Of Chickens, Ducks, Geese, Turkeys And Guineas) And Offal Other Than Liver, Frozen
020810;Meat And Edible Meat Offal Of Rabbits Or Hares, Fresh, Chilled Or Frozen
020820;Frogs Legs, Fresh, Chilled Or Frozen
020890;Meat And Edible Meat Offal, N.E.S., Fresh, Chilled Or Frozen
020900;Pig Fat (Without Lean Meat) And Poultry Fat (Not Rendered), Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked
021011;Hams, Shoulders And Cuts Thereof, Of Swine, With Bone In, Dried, Salted Or Smoked
021012;Bellies (Streaky) And Cuts Thereof, Of Swine, Salted, In Brine, Dried Or Smoked
021019;Meat Of Swine, Salted, In Brine, Dried Or Smoked, N.E.S.
021020;Meat Of Bovine Animals, Salted, In Brine, Dried Or Smoked
021090;Meat, N.E.S., And Edible Meat Offal, Salted, In Brine, Dried Or Smoked, Including Edible Flours And Meals Of Meat Or Meat Offal
030110;Fish, Live
030191;Fish, Live
030192;Fish, Live
030193;Fish, Live
030199;Fish, Live
030211;Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)
030212;Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)
030219;Salmonidae, Fresh Or Chilled (Excluding Livers And Roes)
030221;Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)
030222;Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)
030223;Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)
030229;Flat Fish, Fresh Or Chilled (Excluding Livers And Roes)
030231;Tunas, Skipjack Or Stripe
030232;Tunas, Skipjack Or Stripe
030233;Tunas, Skipjack Or Stripe
030239;Tunas, Skipjack Or Stripe
030240;Herrings, Sardines, Sardinella, Brislings Or Sprats, Fresh Or Chilled (Excluding Livers And Roes)
030250;Cod, Fresh Or Chilled (Excluding Livers And Roes)
030261;Herrings, Sardines, Sardinella, Brislings Or Sprats, Fresh Or Chilled (Excluding Livers And Roes)
030262;Fish, N.E.S., Fresh Or Chilled (Excluding Livers And Roes)
030263;Fish, N.E.S., Fresh Or Chilled (Excluding Livers And Roes)
030264;Mackerel (Scombrids), Fresh Or Chilled (Excluding Livers And Roes)
030265;Fish, N.E.S., Fresh Or Chilled (Excluding Livers And Roes)
030266;Fish, N.E.S., Fresh Or Chilled (Excluding Livers And Roes)
030269;Fish, N.E.S., Fresh Or Chilled (Excluding Livers And Roes)
030270;Fish Livers And Roes, Fresh Or Chilled
030310;Salmonidae, Frozen (Excluding Livers And Roes)
030321;Salmonidae, Frozen (Excluding Livers And Roes)
030322;Salmonidae, Frozen (Excluding Livers And Roes)
030329;Salmonidae, Frozen (Excluding Livers And Roes)
030331;Flat Fish, Frozen (Excluding Livers And Roes)
030332;Flat Fish, Frozen (Excluding Livers And Roes)
030333;Flat Fish, Frozen (Excluding Livers And Roes)
030339;Flat Fish, Frozen (Excluding Livers And Roes)
030341;Tunas, Skipjack Or Stripe
030342;Tunas, Skipjack Or Stripe
030343;Tunas, Skipjack Or Stripe
030349;Tunas, Skipjack Or Stripe
030350;Herrings, Sardines, Sardinella, Brislings Or Sprats, Frozen (Excluding Livers And Roes)
030360;Cod, Frozen (Excluding Livers And Roes)
030371;Herrings, Sardines, Sardinella, Brislings Or Sprats, Frozen (Excluding Livers And Roes)
030372;Fish, N.E.S., Frozen (Excluding Livers And Roes)
030373;Fish, N.E.S., Frozen (Excluding Livers And Roes)
030374;Mackerel (Scrombrids), Frozen (Excluding Livers And Roes)
030375;Fish, N.E.S., Frozen (Excluding Livers And Roes)
030376;Fish, N.E.S., Frozen (Excluding Livers And Roes)
030377;Fish, N.E.S., Frozen (Excluding Livers And Roes)
030378;Hake, Frozen (Excluding Livers And Roes)
030379;Fish, N.E.S., Frozen (Excluding Livers And Roes)
030380;Fish Livers And Roes, Frozen
030410;Fish Fillets And Other Fish Meat, Fresh Or Chilled
030420;Fish Fillets, Frozen
030490;Fish Meat (Other Than Fillets), Frozen
030510;Flours, Meals And Pellets Of Fish, Fit For Human Consumption
030520;Fish Liver And Roes, Dried, Smoked, Salted Or In Brine
030530;Fish Fillets, Dried, Salted Or In Brine
030541;Fish (Including Fillets), Smoked, Whether Or Not Cooked Before Or During The Smoking Process
030542;Fish (Including Fillets), Smoked, Whether Or Not Cooked Before Or During The Smoking Process
030549;Fish (Including Fillets), Smoked, Whether Or Not Cooked Before Or During The Smoking Process
030551;Cod (Gadus Morhua, Gadus Ogac, Gadus Macrocephalus, Not In Fillets), Dried, Whether Or Not Salted
030559;Fish, Dried, Whether Or Not Salted, N.E.S.
030561;Fish Salted But Not Dried Or Smoked And Fish In Brine, N.E.S.
030562;Cod (Gadus Morhua, Gadus Ogac, Gadus Macrocephalus) Salted But Not Dried Or Smoked And Cod In Brine
030563;Anchovies Salted But Not Dried Or Smoked And Anchovies In Brine
030569;Fish Salted But Not Dried Or Smoked And Fish In Brine, N.E.S.
030611;Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030612;Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030613;Shrimps And Prawns, Frozen
030614;Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030619;Other Crustaceans, Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030621;Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030622;Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030623;Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030624;Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030629;Crustaceans, Other Than Frozen, Including Flours, Meals And Pellets Of Crustaceans, Fit For Human Consumption
030710;Oysters, Fresh, Chilled, Frozen, Dried, Salted Or In Brine
030721;Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled
030729;Other Molluscs/Aquatic Invertebrates, Frozen, Dried, Salted Or In Brine Incl Flours, Meals Pellets Of Aquatic Invbrts Oth Thn Crustaceans Hum Consmp
030731;Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled
030739;Other Molluscs/Aquatic Invertebrates, Frozen, Dried, Salted Or In Brine Incl Flours, Meals Pellets Of Aquatic Invbrts Oth Thn Crustaceans Hum Consmp
030741;Cuttlefish, Octopus And Squid, Fresh Or Chilled
030749;"Cuttlefish, Squid And Octopus, Frozen, Dried, Salted, Or In Brine; Flours, Meals And Pellets Thereof, Fit For Human Consumption"
030751;Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled
030759;"Cuttlefish, Squid And Octopus, Frozen, Dried, Salted, Or In Brine; Flours, Meals And Pellets Thereof, Fit For Human Consumption"
030760;Snails, Except Sea Snails, Fresh, Chilled Or Frozen
030791;Molluscs And Aquatic Invertebrates, N.E.S., Fresh Or Chilled
030799;Other Molluscs/Aquatic Invertebrates, Frozen, Dried, Salted Or In Brine Incl Flours, Meals Pellets Of Aquatic Invbrts Oth Thn Crustaceans Hum Consmp
040110;Milk Of A Fat Content, By Weight, Not Exceeding 1%
040120;Milk Of A Fat Content, By Weight, Exceeding 1% But Not Exceeding 6%
040130;Cream Of A Fat Content, By Weight, Exceeding 6%
040210;Milk, In Solid Form, Of A Fat Content, By Weight, Not Exceeding 1.5%
040221;Milk And Cream, In Solid Form, Of A Fat Content, By Weight, Exceeding 1.5%
040229;Milk And Cream, In Solid Form, Of A Fat Content, By Weight, Exceeding 1.5%
040291;Milk And Cream, Concentrated, Not In Solid Form, Not Containing Added Sugar Or Other Sweetening Matter
040299;Milk And Cream, Not In Solid Form, Containing Added Sugar Or Other Sweetening Matter
040310;Yogurt, Whether Or Not Concentrated Or Containing Added Sugar Or Other Sweetening Matter Or Flavored Or Containing Added Fruit, Or Nuts Or Cocoa
040390;Buttermilk, Curdled Milk And Cream, Kephir And Other Fermented Or Acidified Milk Or Cream
040410;Whey And Modified Whey, Whether Or Not Concentrated Or Containing Added Sugar Or Other Sweetening Matter
040490;Products Consisting Of Natural Milk Constituents, N.E.S.
040510;Butter And Other Fats And Oils Derived From Milk
040520;Butter And Other Fats And Oils Derived From Milk
040590;Butter And Other Fats And Oils Derived From Milk
040610;Fresh (Unripened Or Uncured) Cheese, Including Whey Cheese, And Curd
040620;Grated Or Powdered Cheese, Of All Kinds
040630;Processed Cheese, Not Grated Or Powdered
040640;Blue
040690;Cheese, N.E.S.
040700;Birds Eggs In Shell, Fresh, Preserved Or Cooked
040811;Birds Eggs, Dried
040819;Birds Eggs, Other Than Dried
040891;Birds Eggs, Dried
040899;Birds Eggs, Other Than Dried
040900;Natural Honey
041000;Edible Food Products Of Animal Origin, N.E.S.
050100;"Human Hair, Unworked, Whether Or Not Washed Or Scoured; Waste Of Human Hair"
050210;"3911, Hog Or Boar Bristles And Hair; Badger And Other Brush Making Hair; Waste Of Such Bristles Or Hair"""
050290;"3911, Hog Or Boar Bristles And Hair; Badger And Other Brush Making Hair; Waste Of Such Bristles Or Hair"""
050300;Horsehair And Horsehair Waste, Whether Or Not Put Up As A Layer With Or Without Supporting Material
050400;"3911s, Bladders And Stomachs Of Animals (Other Than Fish), Whole And Pieces Thereof"""
050510;"3911d Skins And Other Parts Of Birds Including Feathers Or Down, Not Further Worked Than Cleaned Or Treated; Powder And Waste Of Feathers Or Parts"""
050590;"3911d Skins And Other Parts Of Birds Including Feathers Or Down, Not Further Worked Than Cleaned Or Treated; Powder And Waste Of Feathers Or Parts"""
050610;3911s And Horn
050690;3911s And Horn
050710;"3911ry, Tortoise"""
050790;"3911ry, Tortoise"""
050800;Coral, Shells And Cuttle
050900;Natural Sponges Of Animal Origin
051000;"3911ergris, Castoreum, Civit And Musk; Cantharides; Bile; Glands And Other Animal Products Used In The Preparation Of Pharmaceutical Products"""
051110;Bovine Semen
051191;Fish Or Crustacean, Mollusc Or Other Aquatic Invertebrate Products, Unfit For Human Consumption
051199;"3911mal Products, N.E.S."""
060110;"Bulbs, Tubers, Tuberous Roots, Corms, Crowns And Rhizomes, Dormant, In Growth Or Flower; Chickory Plants And Roots N.E.S.,"
