"recode","target"
"6810" , "68"
"6811" , "68"
"6812" , "68"
"6820" , "68"
"6821" , "68"
"6822" , "68"
"6830" , "68"
"6831" , "68"
"6832" , "68"
"6840" , "68"
"6841" , "68"
"6842" , "68"
"6850" , "68"
"6851" , "68"
"6852" , "68"
"6860" , "68"
"6861" , "68"
"6863" , "68"
"6870" , "68"
"6871" , "68"
"6872" , "68"
"6880" , "68"
"6890" , "68"
"6891" , "68"
"6899" , "68"
"7100" , "71"
"7110" , "71"
"7111" , "71"
"7112" , "71"
"7119" , "71"
"7120" , "71"
"7121" , "71"
"7126" , "71"
"7129" , "71"
"7130" , "71"
"7131" , "71"
"7132" , "71"
"7133" , "71"
"7138" , "71"
"7139" , "71"
"7140" , "71"
"7144" , "71"
"7147" , "71"
"7148" , "71"
"7149" , "71"
"7160" , "71"
"7161" , "71"
"7162" , "71"
"7163" , "71"
"7164" , "71"
"7165" , "71"
"7169" , "71"
"7187" , "71"
"7188" , "71"
"7189" , "71"
"7400" , "74"
"7411" , "74"
"7412" , "74"
"7413" , "74"
"7414" , "74"
"7415" , "74"
"7416" , "74"
"7420" , "74"
"7421" , "74"
"7422" , "74"
"7423" , "74"
"7425" , "74"
"7427" , "74"
"7428" , "74"
"7429" , "74"
"7430" , "74"
"7431" , "74"
"7432" , "74"
"7433" , "74"
"7434" , "74"
"7435" , "74"
"7436" , "74"
"7437" , "74"
"7439" , "74"
"7440" , "74"
"7441" , "74"
"7442" , "74"
"7447" , "74"
"7449" , "74"
"7451" , "74"
"7452" , "74"
"7473" , "74"
"7478" , "74"
"7482" , "74"
"7490" , "74"
"7491" , "74"
"7492" , "74"
"7493" , "74"
"7499" , "74"
"7500" , "75"
"7510" , "75"
"7511" , "75"
"7512" , "75"
"7518" , "75"
"7520" , "75"
"7521" , "75"
"7522" , "75"
"7523" , "75"
"7524" , "75"
"7525" , "75"
"7526" , "75"
"7528" , "75"
"7590" , "75"
"7591" , "75"
"7599" , "75"
"7710" , "77"
"7711" , "77"
"7712" , "77"
"7720" , "77"
"7721" , "77"
"7722" , "77"
"7723" , "77"
"7724" , "77"
"7725" , "77"
"7730" , "77"
"7731" , "77"
"7732" , "77"
"7740" , "77"
"7741" , "77"
"7742" , "77"
"7750" , "77"
"7751" , "77"
"7752" , "77"
"7753" , "77"
"7754" , "77"
"7757" , "77"
"7758" , "77"
"7760" , "77"
"7761" , "77"
"7762" , "77"
"7763" , "77"
"7764" , "77"
"7768" , "77"
"7780" , "77"
"7781" , "77"
"7782" , "77"
"7783" , "77"
"7784" , "77"
"7788" , "77"
"8400" , "84"
"8420" , "84"
"8421" , "84"
"8422" , "84"
"8423" , "84"
"8424" , "84"
"8429" , "84"
"8430" , "84"
"8431" , "84"
"8432" , "84"
"8433" , "84"
"8434" , "84"
"8435" , "84"
"8438" , "84"
"8439" , "84"
"8440" , "84"
"8441" , "84"
"8442" , "84"
"8443" , "84"
"8450" , "84"
"8451" , "84"
"8452" , "84"
"8458" , "84"
"8459" , "84"
"8460" , "84"
"8461" , "84"
"8462" , "84"
"8463" , "84"
"8464" , "84"
"8465" , "84"
"8470" , "84"
"8471" , "84"
"8472" , "84"
"8480" , "84"
"8481" , "84"
"8482" , "84"
"8483" , "84"
"8484" , "84"
"8900" , "89"
"8913" , "89"
"8920" , "89"
"8921" , "89"
"8922" , "89"
"8924" , "89"
"8928" , "89"
"8930" , "89"
"8931" , "89"
"8932" , "89"
"8933" , "89"
"8935" , "89"
"8939" , "89"
"8940" , "89"
"8941" , "89"
"8942" , "89"
"8946" , "89"
"8947" , "89"
"8950" , "89"
"8951" , "89"
"8952" , "89"
"8959" , "89"
"8960" , "89"
"8970" , "89"
"8972" , "89"
"8973" , "89"
"8974" , "89"
"8980" , "89"
"8981" , "89"
"8982" , "89"
"8983" , "89"
"8989" , "89"
"8990" , "89"
"8991" , "89"
"8993" , "89"
"8994" , "89"
"8996" , "89"
"8997" , "89"
"8998" , "89"
"8999" , "89"
